
> firebotsync@0.1.0 dev
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.139.84.97:3000
✓ Ready in 733ms

 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 12ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 51ms (next.js: 21ms, application-code: 29ms)
 POST /api/logs 200 in 15ms (next.js: 9ms, application-code: 6ms)
 POST /api/logs 200 in 18ms (next.js: 5ms, application-code: 13ms)
 POST /api/logs 200 in 12ms (next.js: 5ms, application-code: 7ms)
 POST /api/logs 200 in 13ms (next.js: 5ms, application-code: 8ms)
 POST /api/logs 200 in 120ms (next.js: 45ms, application-code: 75ms)
 POST /api/logs 200 in 10ms (next.js: 3ms, application-code: 7ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 11ms (next.js: 3ms, application-code: 7ms)
 POST /api/logs 200 in 75ms (next.js: 25ms, application-code: 49ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 12ms (next.js: 4ms, application-code: 8ms)
 POST /api/logs 200 in 17ms (next.js: 7ms, application-code: 10ms)
 POST /api/logs 200 in 12ms (next.js: 4ms, application-code: 8ms)
 POST /api/logs 200 in 26ms (next.js: 8ms, application-code: 18ms)
 POST /api/logs 200 in 8ms (next.js: 3ms, application-code: 5ms)
 POST /api/logs 200 in 12ms (next.js: 4ms, application-code: 8ms)
 POST /api/logs 200 in 16ms (next.js: 10ms, application-code: 6ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 34ms (next.js: 16ms, application-code: 18ms)
 POST /api/logs 200 in 67ms (next.js: 11ms, application-code: 57ms)
 POST /api/logs 200 in 11ms (next.js: 4ms, application-code: 7ms)
 POST /api/logs 200 in 10ms (next.js: 3ms, application-code: 7ms)
 POST /api/logs 200 in 41ms (next.js: 14ms, application-code: 27ms)
 POST /api/logs 200 in 21ms (next.js: 7ms, application-code: 14ms)
 POST /api/logs 200 in 35ms (next.js: 16ms, application-code: 19ms)
 POST /api/logs 200 in 20ms (next.js: 7ms, application-code: 13ms)
 POST /api/logs 200 in 17ms (next.js: 7ms, application-code: 10ms)
 POST /api/logs 200 in 10ms (next.js: 3ms, application-code: 7ms)
 POST /api/logs 200 in 16ms (next.js: 5ms, application-code: 10ms)
 POST /api/logs 200 in 11ms (next.js: 4ms, application-code: 7ms)
 POST /api/logs 200 in 14ms (next.js: 7ms, application-code: 7ms)
 POST /api/logs 200 in 21ms (next.js: 8ms, application-code: 13ms)
 POST /api/logs 200 in 13ms (next.js: 5ms, application-code: 8ms)
 POST /api/logs 200 in 11ms (next.js: 4ms, application-code: 7ms)
 POST /api/logs 200 in 20ms (next.js: 4ms, application-code: 17ms)
 POST /api/logs 200 in 28ms (next.js: 19ms, application-code: 10ms)
 POST /api/logs 200 in 13ms (next.js: 4ms, application-code: 9ms)
 POST /api/logs 200 in 12ms (next.js: 5ms, application-code: 8ms)
 POST /api/logs 200 in 9ms (next.js: 4ms, application-code: 5ms)
 POST /api/logs 200 in 8ms (next.js: 3ms, application-code: 5ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 23ms (next.js: 6ms, application-code: 17ms)
 POST /api/logs 200 in 11ms (next.js: 4ms, application-code: 7ms)
 POST /api/logs 200 in 52ms (next.js: 25ms, application-code: 27ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 13ms (next.js: 4ms, application-code: 9ms)
 POST /api/logs 200 in 11ms (next.js: 3ms, application-code: 9ms)
 POST /api/logs 200 in 51ms (next.js: 24ms, application-code: 27ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 9ms (next.js: 4ms, application-code: 5ms)
 POST /api/logs 200 in 13ms (next.js: 5ms, application-code: 8ms)
 POST /api/logs 200 in 13ms (next.js: 5ms, application-code: 7ms)
 POST /api/logs 200 in 41ms (next.js: 10ms, application-code: 31ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 5ms)
 POST /api/logs 200 in 10ms (next.js: 5ms, application-code: 5ms)
 POST /api/logs 200 in 14ms (next.js: 5ms, application-code: 9ms)
 POST /api/logs 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/logs 200 in 12ms (next.js: 6ms, application-code: 6ms)
 POST /api/logs 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/logs 200 in 14ms (next.js: 4ms, application-code: 10ms)
 POST /api/logs 200 in 17ms (next.js: 9ms, application-code: 8ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 9ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 17ms (next.js: 7ms, application-code: 10ms)
 POST /api/logs 200 in 27ms (next.js: 6ms, application-code: 21ms)
 POST /api/logs 200 in 11ms (next.js: 4ms, application-code: 7ms)
 POST /api/logs 200 in 22ms (next.js: 9ms, application-code: 12ms)
 POST /api/logs 200 in 14ms (next.js: 4ms, application-code: 9ms)
 POST /api/logs 200 in 11ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 10ms (next.js: 3ms, application-code: 7ms)
 POST /api/logs 200 in 12ms (next.js: 4ms, application-code: 8ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 23ms (next.js: 7ms, application-code: 16ms)
 POST /api/logs 200 in 15ms (next.js: 5ms, application-code: 10ms)
 POST /api/logs 200 in 13ms (next.js: 5ms, application-code: 9ms)
 POST /api/logs 200 in 10ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 9ms (next.js: 4ms, application-code: 4ms)
 POST /api/logs 200 in 12ms (next.js: 7ms, application-code: 6ms)
 POST /api/logs 200 in 18ms (next.js: 8ms, application-code: 10ms)
 POST /api/logs 200 in 9ms (next.js: 4ms, application-code: 5ms)
 POST /api/logs 200 in 21ms (next.js: 11ms, application-code: 10ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 10ms (next.js: 5ms, application-code: 5ms)
 POST /api/logs 200 in 11ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 12ms (next.js: 5ms, application-code: 8ms)
 POST /api/logs 200 in 10ms (next.js: 5ms, application-code: 5ms)
